"","ein","real_year","name","address","fips","assets","income","lon","lat"
"1",421602181,2013,"SAN ANTONIO RIVER FOUNDATION","PO BOX 830045, SAN ANTONIO, TX 78283",48029,5167183,1535391,-98.5030929,29.4134586
"2",746046937,2013,"TRAVIS AUDUBON SOCIETY INC","3710 CEDAR ST STE 5, AUSTIN, TX 78705",48453,2944042,308070,-97.7353473,30.300459
"3",746049372,2013,"TEXAS GARDEN CLUBS","6088 BABE ZAHARIAS DR, BEAUMONT, TX 77705",48245,1403471,296639,-94.1464983,30.0232613
"4",756423660,2013,"BAIRD FAMILY CHARITABLE TRUST","1701 N GREENVILLE AVE SUITE 500, RICHARDSON, TX 75081",48113,578054,133824,-96.7267391,32.9568019
"5",237357269,2013,"TEXAS AIRSTREAM HARBOR INC TAHI","2710 S MEDFORD DR, LUFKIN, TX 75901",48005,103329,73780,-94.7029001,31.317648
"6",742121275,2013,"LAKE MCQUEENEY PROP OWNERS ASSN INC","PO BOX 781, MCQUEENEY, TX 78123",48187,172438,36067,-98.0410634,29.6087981
"7",742645332,2013,"VALLEY PROUD ENVIRONMENTAL COUNCIL","513 E JACKSON ST STE 304, HARLINGEN, TX 78550",48061,133435,108796,-97.6906359,26.1930745
"8",752212157,2013,"EVERETT E AND ORABETH K WOODS FOUNDATION","PO BOX 5749, ABILENE, TX 79608",48441,133892,15045,-99.75,32.42
"9",742094805,2013,"KINGS POINT TRAIL ASSOCIATION","1075 KINGWOOD DRIVE, KINGWOOD, TX 77339",48201,631852,221249,-95.2407799,30.0505449
"10",510225607,2013,"KINGWOOD GARDEN CLUB","PO BOX 5048, KINGWOOD, TX 77325",48201,84926,26703,-95.22,30.07
"11",752154523,2013,"ANGELINA BEAUTIFULCLEAN","PO BOX 1606, LUFKIN, TX 75902",48005,21019,128365,-94.7235939,31.3374423
"12",750787690,2013,"LAKE LYDIA INC","PO BOX 1484, QUITMAN, TX 75783",48499,352887,72848,-95.464,32.819699
"13",751954862,2013,"WOODS CEMETERY ASSOCIATION","127 COUNTY ROAD 4262, TENAHA, TX 75974",48419,264882,9523,-94.4233956,30.7364128
"14",742601251,2013,"DAVIS MOUNTAINS TRANS PECOS HERITAGE ASSOCIATION","PO BOX 1209, ALPINE, TX 79831",48043,12940,31967,-103.6610115,30.3584919
"15",746069002,2013,"MESQUITE TRAIL DRIVERS ASSOCIATION","PO BOX 38, ADKINS, TX 78101",48029,49831,116468,-98.2372329,29.3930129
"16",760436267,2013,"EAST MATAGORDA BAY FOUNDATION INC","PO BOX 4004, SARGENT, TX 77404",48321,15551,1152,-95.9671658,28.9643278
"17",760567365,2013,"PECKERWOOD GARDENS CONSERVATION FOUNDATION INC","20571 FM 359 RD, HEMPSTEAD, TX 77445",48473,481478,149391,-96.039607,30.057688
"18",274374251,2013,"MAGNOLIA GARDEN CLUB","148 S DOWLEN RD, BEAUMONT, TX 77707",48245,70200,78512,-94.1730943,30.0730332
"19",752351673,2013,"CENTER FOR LEGISLATIVE ENERGY AND ENVIRONMENTAL RESEARCH","5400 LBJ FREEWAY, DALLAS, TX 75240",48113,148163,218157,-96.8167378,32.924654
"20",752655909,2013,"NORTH TEXAS SECTION OF THE WATER ENVIRONMENT ASSOCIATION OF TEXAS","12750 MERIT DR STE 1100, DALLAS, TX 75251",48113,210283,78569,-96.7710444,32.9225371
"21",742772459,2013,"TEXAS GULF COAST SUPERINTENDENTS ASSOCIATION","PO BOX 271352, CORP CHRISTI, TX 78427",48355,19259,32978,-97.4148358,27.6956307
"22",742687511,2013,"TEXAS ORGANIC FARMERS AND GARDENERS ASSOCIATION","PO BOX 48, ELGIN, TX 78621",48021,29343,102690,-97.3702735,30.3496528
"23",237109965,2013,"STREAMS AND VALLEYS INC","PO BOX 470184, FORT WORTH, TX 76147",48439,1287695,398352,-97.3600469,32.7500817
"24",263749177,2013,"SAN ANTONIO BAY FOUNDATION","933 E COURT ST, SEGUIN, TX 78155",48187,31565,200510,-97.953625,29.5686778
"25",742613666,2013,"USEFUL WILD PLANTS INC","2612 SWEENEY LN, AUSTIN, TX 78723",48453,156070,28590,-97.6815401,30.3079529
"26",742441468,2014,"SUSTAINABLE FOOD CENTER","2921 E 17TH ST BLDG C, AUSTIN, TX 78702",48453,4902337,2708947,-97.7100801,30.278543
"27",453929881,2013,"MERCURY ONE INC","6301 RIVERSIDE DR, IRVING, TX 75039",48113,5067013,6992955,-96.9391537,32.8940924
"28",455518326,2013,"TEXAS CLEAN ENERGY COALITION","327 CONGRESS AVE STE 450, AUSTIN, TX 78701",48453,176118,181443,-97.7431768,30.2659386
"29",751495717,2014,"FRIENDS OF THE FORT WORTH NATURE CENTER AND REFUGE INC","9601 FOSSIL RIDGE RD, FORT WORTH, TX 76135",48439,536575,488918,-97.4756516,32.845932
"30",752573928,2013,"LEE PARK AND ARLINGTON HALL CONSERVANCY","PO BOX 190872, DALLAS, TX 75219",48113,476108,1088762,-96.8107577,32.8078864
"31",273114002,2013,"H2O4 TEXAS COALITION","3305 SILVERLEAF DR, AUSTIN, TX 78757",48453,22722,280553,-97.7454261,30.355664
"32",270712564,2013,"JOHN BUNKER SANDS WETLAND CENTER INC","2101 CEDAR SPRINGS RD STE 1600, DALLAS, TX 75201",48113,1879706,262506,-96.8063384,32.7940761
"33",451864591,2013,"TAKING CARE OF TEXAS","3500 JEFFERSON ST STE 301, AUSTIN, TX 78731",48453,146533,110250,-97.7518946,30.3080252
"34",742924400,2013,"COMMUNITY INVESTMENT CORPORATION","PO BOX 4279, AUSTIN, TX 78765",48453,0,1145,-97.7437526,30.3040525
"35",270586701,2013,"CO2 IS GREEN INC","601 JEFFERSON STREET, HOUSTON, TX 77002",48201,4054,0,-95.3723074,29.7532925
"36",742178792,2013,"SAN ANTONIO BOTANICAL GARDEN SOCIETY INC","555 FUNSTON PL, SAN ANTONIO, TX 78209",48029,9677640,6919682,-98.4587271,29.4588656
"37",510187748,2013,"DALLAS GARDEN CLUB OF THE DALLAS","7000 PARK LN, DALLAS, TX 75225",48113,271379,312340,-96.7846237,32.8728447
