DLN,EIN,FILING_TYPE,IRS990EZ_p3_DscrptnPrgrmSrvcAccmTxt,IRS990EZ_p3_PrmryExmptPrpsTxt,IRS990PF_p16b_RltnshpSttmntTxt,IRS990PF_p9a_DscrptnTxt,IRS990ScheduleO_ExplntnTxt,IRS990_p1_ActvtyOrMssnDsc,IRS990_p3_DscS,IRS990_p3_MssnDsc,OBJECT_ID,RETURN_ID,RETURN_TYPE,SUB_DATE,TAXPAYER_NAME,TAX_PERIOD,YEAR,Real_Year,ACCPER,ADDRESS,ASSETS,CASSETS,CFINSRC,CITY,CTAXPER,CTOTREV,EPOST,FILER,FIPS,FISYR_IMAGE,FNDNCD,FRCD,GEN,INCOME,IRS990n,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,MSA_NECH,NAICS,NAME,NTEE1,NTEECC,NTEECONF,NTEEFINAL,NTEESRC,NTMAJ10,NTMAJ12,NTMAJ5,OUTNCCS,OUTREAS,PFFRCD,PMSA,RANDNUM,RULEDATE,RandNum,SEC_NAME,STATE,SUBSECCD,TAXPER,YEAR_NCCS,ZFILER,ZIP5,cAssets,cFiler,cFinSrc,cTaxPer,cTotRev,czFiler,nteeConf,nteeFinal,nteeFinal1,ntmaj10,ntmaj12,ntmaj5
9.34933E+13,421602181,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,10984088,990,12/3/2013,SAN ANTONIO RIVER FOUNDATION,201306,2013,2013,6,PO BOX 830045,5167183,,,SAN ANTONIO,,,Z,Y,48029,2013,15,10,0,1535391,0,PC,O,EN,C,C,7240,813312,SAN ANTONIO RIVER FOUNDATION,C,C32,,,1,,,,IN,,,,,200309,0.4908,,TX,3,201306,2013,N,78283,5167183,Y,bmf1312c3,201306,1517391,N,B,C32,C,EN,EN,OT
9.34933E+13,746046937,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,10980530,990,11/29/2013,TRAVIS AUDUBON SOCIETY INC,201303,2013,2013,3,3710 CEDAR ST STE 5,2944042,,,AUSTIN,,,Z,Y,48453,2013,16,10,0,308070,0,PC,O,EN,C,C,640,813312,TRAVIS AUDUBON SOCIETY INC,C,C30,,,1,,,,IN,,,,,195707,0.03603,,TX,3,201303,2013,N,78705,2944042,Y,bmf1312c3,201303,284248,N,A,C30,C,EN,EN,OT
9.34933E+13,746049372,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,10989520,990,12/4/2013,TEXAS GARDEN CLUBS,201305,2013,2013,5,6088 BABE ZAHARIAS DR,1403471,,,BEAUMONT,,,1,Y,48245,2013,16,10,7170,296639,0,PC,O,EN,C,C,840,813410,TEXAS GARDEN CLUBS INC,C,C42,,,1,,,,IN,,,,,199301,0.51974,2035 BEAUMONT COUNCIL OF G C,TX,3,201305,2013,N,77705,1403471,Y,bmf1312c3,201305,296639,N,A,C42,C,EN,EN,OT
9.34933E+13,756423660,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,11052189,990,12/20/2013,BAIRD FAMILY CHARITABLE TRUST,201306,2013,2013,6,1701 N GREENVILLE AVE SUITE 500,578054,,,RICHARDSON,,,Z,Y,48113,2013,17,10,0,133824,0,PC,O,EN,C,C,1922,813312,BAIRD FAMILY CHARITABLE TRUST,C,C30,,,1,,,,IN,,,1920,,199204,0.13898,FRITZ EDWARD C CO-TTEE,TX,3,201306,2013,N,75081,578054,Y,bmf1312c3,201306,31921,N,B,C30,C,EN,EN,OT
9.34923E+13,760691272,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11090550,990EZ,12/31/2013,GOLFREACH INC,201308,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34924E+13,237357269,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11093598,990EO,12/31/2013,TEXAS AIRSTREAM HARBOR INC TAHI,201311,2013,2013,11,2710 S MEDFORD DR,103329,,,LUFKIN,,,Z,Y,48005,2014,0,1,0,73780,0,O,O,EN,C,C,,813312,TEXAS AIRSTREAM HARBOR INC,C,C99,,,1,,,,IN,,,,,197603,0.17372,,TX,7,201311,2014,N,75901,103329,Y,core2012co,201311,73780,N,C,C99,C,EN,EN,OT
9.34924E+13,742121275,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11089966,990EZ,12/31/2013,LAKE MCQUEENEY PROP OWNERS ASSN INC,201307,2013,2013,7,PO BOX 781,172438,,,MCQUEENEY,,,Z,Y,48187,2014,15,2,0,36067,0,PC,O,EN,C,C,7240,813319,LAKE MCQUEENEY PROPERTY OWNERS ASSOCIATION INC,C,C013,,,1,,,,IN,,,,,199612,0.07902,LAKE MCQUEENEY PROPERTY OWNERS ASSO,TX,3,201307,2014,N,78123,172438,Y,core2012pc,201307,36067,N,B,C0130,C,EN,EN,OT
9.34923E+13,742645332,EFILE,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,VERSION_NOT_SUPPORTED,,,,2.01E+17,11074487,990EZ,12/26/2013,VALLEY PROUD ENVIRONMENTAL COUNCIL,201306,2013,2013,6,513 E JACKSON ST STE 304,133435,,,HARLINGEN,,,Z,Y,48061,2013,15,10,0,108796,0,PC,O,EN,C,C,1240,712190,VALLEY PROUD ENVIRONMENTAL COUNCIL,C,C60,,,1,,,,IN,,,,,199211,0.14947,,TX,3,201306,2013,N,78550,133435,Y,bmf1312c3,201306,108796,N,B,C60,C,EN,EN,OT
9.34913E+13,752212157,EFILE,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,,,,,2.01E+17,11087271,990PF,12/30/2013,EVERETT E AND ORABETH K WOODS FOUNDATION,201309,2013,2013,9,PO BOX 5749,133892,,,ABILENE,,,Z,Y,48441,2013,4,0,0,15045,0,PF,O,EN,C,C,40,813312,EVERETT E AND ORABETH K WOODS FOUNDATION,C,C36,,,1,,,,IN,,,,,198906,0.11737,,TX,3,201309,2014,N,79608,133892,Y,core2012pf,201309,5801,N,B,C36,C,EN,EN,OT
9.34933E+13,742094805,EFILE,,,,,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,VERSION_NOT_SUPPORTED,2.01E+17,11073852,990O,12/26/2013,KINGS POINT TRAIL ASSOCIATION,201306,2013,2013,6,1075 KINGWOOD DRIVE,631852,,,KINGWOOD,,,Z,Y,48201,2013,0,10,0,221249,0,O,O,EN,C,C,3362,813312,KINGS POINT TRAIL ASSOCIATION,C,C99,,,1,,,,IN,,,3360,,199309,0.26681,,TX,4,201306,2013,N,77339,631852,Y,bmf1312co,201306,221249,N,C,C99,C,EN,EN,OT
